Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
230;Métro;MICHEL-ANGE-AUTEUIL;1131814;9;10;;;;Paris;16
280;Métro;CARDINAL LEMOINE;710141;10;;;;;Paris;5
303;Métro;PONT CARDINET;112229;14;;;;;Paris;17
44;Métro;LA MOTTE-PICQUET-GRENELLE;3428458;6;8;10;;;Paris;15
64;Métro;REAUMUR-SEBASTOPOL;2718817;3;4;;;;Paris;3
140;Métro;CHAMPS-ELYSEES-CLEMENCEAU;1735350;1;13;;;;Paris;8
253;Métro;MAUBERT-MUTUALITE;913919;10;;;;;Paris;5
277;Métro;TEMPLE;731355;3;;;;;Paris;2
304;Métro;EGLISE D'AUTEUIL;95182;10;;;;;Paris;16
66;RER;LA HACQUINIERE;213256;B;;;;;Bures sur Yvette;
109;Métro;LES COURTILLES;2194218;13;;;;;Asnières sur Seine;
139;Métro;LOUISE MICHEL;1735982;3;;;;;Levallois-Perret;
251;Métro;SEVRES-LECOURBE;923347;6;;;;;Paris;15
206;Métro;RANELAGH;1234203;9;;;;;Paris;16
13;RER;NEUILLY-PLAISANCE;3726798;A;;;;;Neuilly-sur-Seine;
54;Métro;JAURES;3148221;2;5;7bis;;;Paris;19
266;Métro;SAINT-FRANCOIS-XAVIER;812792;13;;;;;Paris;7
245;Métro;LA TOUR-MAUBOURG;965136;8;;;;;Paris;7
255;Métro;MAISONS-ALFORT-LES JUILLIOTTES;905627;8;;;;;Maisons -Alfort;
27;RER;CHAMPIGNY;2209619;A;;;;;Saint-Maur des Fossés;
15;Métro;PORTE DE CLIGNANCOURT;4902116;4;;;;;Paris;18
33;Métro;CHATILLON-MONTROUGE;3738453;13;;;;;Chatillon;
86;Métro;OBERKAMPF;2462989;5;9;;;;Paris;11
18;Métro;MAIRIE DE MONTREUIL;4764601;9;;;;;Montreuil;
58;Métro;GEORGE V;2871038;1;;;;;Paris;8
84;Métro;PIGALLE;2496923;2;12;;;;Paris;18
186;Métro;MAISONS-ALFORT-STADE;1393467;8;;;;;Maisons -Alfort;
226;Métro;CORVISART;1157408;6;;;;;Paris;13
276;Métro;LIEGE;740144;13;;;;;Paris;8
34;RER;NOISIEL;1868878;A;;;;;Noisiel;
64;RER;PARC DE SCEAUX;286202;B;;;;;Antony;
48;RER;ROBINSON;1160290;B;;;;;Sceaux;
46;Métro;STALINGRAD;3336898;2;5;7;;;Paris;19
81;Métro;VOLTAIRE;2572383;9;;;;;Paris;11
21;Métro;OLYMPIADES;4717069;14;;;;;Paris;13
29;Métro;HAVRE-CAUMARTIN;3899956;3;9;;;;Paris;9
48;Métro;PORTE D'ORLEANS;3314496;4;;;;;Paris;14
173;Métro;BILLANCOURT;1525990;9;;;;;Boulogne Billancourt;
89;Métro;PORTE DE VERSAILLES;2449859;12;;;;;Paris;15
248;Métro;PHILIPPE AUGUSTE;925913;2;;;;;Paris;11
65;Métro;CRIMEE;2688758;7;;;;;Paris;19
74;Métro;MIROMESNIL;2618473;9;13;;;;Paris;8
75;Métro;CONCORDE;2617251;1;8;12;;;Paris;8
95;Métro;MAIRIE DE SAINT-OUEN;2373142;13;14;;;;Saint Ouen;
97;Métro;PORTE DE PANTIN;2336476;5;;;;;Paris;19
118;Métro;OURCQ;2064168;5;;;;;Paris;19
120;Métro;PORTE DES LILAS;2021179;3bis;11;;;;Paris;20
147;Métro;RUE DE LA POMPE;1700312;9;;;;;Paris;16
7;Métro;LA DEFENSE;8616589;1;;;;;Puteaux;
12;Métro;BELLEVILLE;5680933;2;11;;;;Paris;10
30;Métro;REUILLY-DIDEROT;3860750;1;8;;;;Paris;12
69;Métro;PONT DE SEVRES;2651763;9;;;;;Boulogne Billancourt;
70;Métro;BIR-HAKEIM;2644407;6;;;;;Paris;15
72;Métro;SAINT-DENIS-UNIVERSITE;2626602;13;;;;;Saint Denis;
94;Métro;COLONEL FABIEN;2378863;2;;;;;Paris;10
204;Métro;CADET;1240692;7;;;;;Paris;9
285;Métro;PICPUS;595063;6;;;;;Paris;12
14;RER;RUEIL-MALMAISON;3408182;A;;;;;Rueil-Malmaison;
29;RER;SAINT-MAUR-CRETEIL;2151064;A;;;;;Saint-Maur des Fossés;
40;RER;SUCY-BONNEUIL;1546784;A;;;;;Sucy-en-Brie;
162;Métro;BOULOGNE-PONT DE SAINT-CLOUD;1588193;10;;;;;Boulogne Billancourt;
180;Métro;PORTE D'ITALIE;1458709;7;;;;;Paris;13
256;Métro;MONCEAU;902347;2;;;;;Paris;17
275;Métro;CITE;741182;4;;;;;Paris;4
3;RER;CHATELET-LES HALLES-RER;18301464;A;B;;;;Paris;1
6;RER;VAL DE FONTENAY;7985198;A;;;;;Fontenay-sous-Bois;
26;RER;JOINVILLE-LE-PONT;2314407;A;;;;;Joinville-le-Pont;
35;RER;PORT ROYAL;1824145;B;;;;;Paris;5
39;RER;FONTENAY-SOUS-BOIS;1586673;A;;;;;Fontenay-sous-Bois;
51;RER;LOGNES;944270;A;;;;;Lognes;
274;Métro;TRINITE-D'ESTIENNE D'ORVES;757661;12;;;;;Paris;9
211;Métro;JACQUES BONSERGENT;1216884;5;;;;;Paris;10
239;Métro;JASMIN;1017366;9;;;;;Paris;16
41;RER;BRY-SUR-MARNE;1458444;A;;;;;Bry-sur-Marne;
6;Métro;BIBLIOTHEQUE;10002396;14;;;;;Paris;13
16;Métro;NATION;4860619;1;2;6;9;;Paris;12
62;Métro;CRETEIL-PREFECTURE;2778189;8;;;;;Créteil;
104;Métro;VILLIERS;2244643;2;3;;;;Paris;17
107;Métro;ALESIA;2204961;4;;;;;Paris;14
121;Métro;BOULOGNE-JEAN JAURES;2016202;10;;;;;Boulogne Billancourt;
153;Métro;SAINT-PLACIDE;1673383;4;;;;;Paris;6
67;Métro;CONVENTION;2674415;12;;;;;Paris;15
99;Métro;RICHELIEU-DROUOT;2313492;8;9;;;;Paris;9
181;Métro;ROME;1435310;2;;;;;Paris;17
219;Métro;LIBERTE;1195690;8;;;;;Charenton;
222;Métro;MICHEL-ANGE-MOLITOR;1180095;9;10;;;;Paris;16
9;Métro;REPUBLIQUE;6988692;3;5;8;9;11;Paris;11
36;Métro;PONT DE NEUILLY;3678074;1;;;;;Neuilly Sur Seine;
80;Métro;PORTE DE SAINT-CLOUD;2576290;9;;;;;Paris;16
102;Métro;PORTE DE BAGNOLET;2244934;3;;;;;Paris;20
116;Métro;MAIRIE D'ISSY;2083392;12;;;;;Issy Les Moulineaux;
144;Métro;SAINT-GERMAIN DES PRES;1712923;4;;;;;Paris;6
146;Métro;TERNES;1703632;2;;;;;Paris;17
151;Métro;JOURDAIN;1683473;11;;;;;Paris;20
176;Métro;PARMENTIER;1499805;3;;;;;Paris;11
195;Métro;SAINT-MAUR;1331250;3;;;;;Paris;11
199;Métro;LAMARCK-CAULAINCOURT;1283881;12;;;;;Paris;18
212;Métro;SAINT-MARCEL;1211679;5;;;;;Paris;13
213;Métro;CRETEIL-L'ECHAT;1209224;8;;;;;Créteil;
295;Métro;SAINT-FARGEAU;339164;3bis;;;;;Paris;8
24;RER;DENFERT-ROCHEREAU-RER;2351759;B;;;;;Paris;14
278;Métro;MIRABEAU;724167;10;;;;;Paris;16
28;RER;MARNE-LA-VALLEE-CHESSY;2192200;A;;;;;Montévrain;
44;RER;GENTILLY;1248514;B;;;;;Gentilly;
152;Métro;BLANCHE;1680852;2;;;;;Paris;9
161;Métro;SENTIER;1601006;3;;;;;Paris;3
172;Métro;MARX DORMOY;1544166;12;;;;;Paris;18
177;Métro;LA FOURCHE;1499508;13;;;;;Paris;8
183;Métro;BOURSE;1417882;3;;;;;Paris;2
196;Métro;CORENTIN CARIOU;1329810;7;;;;;Paris;19
234;Métro;BUZENVAL;1080500;9;;;;;Paris;20
246;Métro;MAISON BLANCHE;955254;7;;;;;Paris;13
258;Métro;MOUTON-DUVERNET;870679;4;;;;;Paris;14
270;Métro;PIERRE CURIE;780043;7;;;;;Ivry;
289;Métro;SAINT-GEORGES;523670;12;;;;;Paris;9
4;RER;LA DEFENSE-RER;16349130;A;;;;;Puteaux;
7;RER;MASSY-PALAISEAU;5163200;B;;;;;Massy;
49;RER;LE VESINET-LE PECQ;1156100;A;;;;;Le Vésinet;
56;RER;PALAISEAU-VILLEBON;444921;B;;;;;Palaiseau;
189;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;1382850;7;;;;;Villejuif;
194;Métro;JAVEL-ANDRE CITROEN;1331833;10;;;;;Paris;15
282;Métro;CAMPO-FORMIO;664119;5;;;;;Paris;13
16;RER;LUXEMBOURG;2916819;B;;;;;Paris;5
21;RER;NATION-RER;2636667;A;;;;;Paris;12
59;RER;LOZERE;371808;B;;;;;Palaiseau;
133;Métro;DENFERT-ROCHEREAU;1818730;4;6;;;;Paris;14
163;Métro;MALAKOFF-PLATEAU DE VANVES;1581749;13;;;;;Malakoff;
165;Métro;PORTE DE CHAMPERRET;1576691;3;;;;;Paris;17
4;Métro;MONTPARNASSE-BIENVENUE;13783944;4;6;12;13;;Paris;14
187;Métro;RAMBUTEAU;1389112;11;;;;;Paris;3
56;Métro;LES SABLONS;2965575;1;;;;;Neuilly Sur Seine;
201;Métro;PORTE DE LA CHAPELLE;1276901;12;;;;;Paris;18
205;Métro;TUILERIES;1239066;1;;;;;Paris;1
207;Métro;WAGRAM;1231276;3;;;;;Paris;17
244;Métro;NOTRE-DAME-DES-CHAMPS;996587;12;;;;;Paris;6
3;Métro;GARE DE LYON;22232810;1;14;A;;;Paris;12
5;Métro;GARE DE L'EST;11715190;4;5;7;;;Paris;10
42;Métro;SAINT-MANDE-TOURELLE;3487584;1;;;;;Saint Mandé;
43;Métro;MAIRIE DE MONTROUGE;3456791;4;;;;;Montrouge;
52;Métro;MARCADET-POISSONNIERS;3169019;4;12;;;;Paris;18
61;Métro;COUR SAINT-EMILION;2792734;14;;;;;Paris;12
66;Métro;INVALIDES;2678838;8;13;;;;Paris;7
83;Métro;PERE LACHAISE;2503028;2;3;;;;Paris;20
91;Métro;ODEON;2412888;4;10;;;;Paris;6
269;Métro;FILLES DU CALVAIRE;784137;8;;;;;Paris;3
124;Métro;DUROC;1972711;10;13;;;;Paris;7
298;Métro;DANUBE;266623;7bis;;;;;Paris;19
126;Métro;CHEVALERET;1923876;6;;;;;Paris;13
8;RER;NOISY-LE-GRAND-MONT D'EST;4492037;A;;;;;Noisy-le-Grand;
228;Métro;PORTE DE CHARENTON;1146232;8;;;;;Paris;12
236;Métro;EXELMANS;1055609;9;;;;;Paris;16
240;Métro;EDGAR QUINET;1011168;6;;;;;Paris;14
250;Métro;SOLFERINO;923536;12;;;;;Paris;7
273;Métro;SULLY-MORLAND;767233;7;;;;;Paris;4
11;Métro;CHATELET;6030558;1;4;7;11;14;Paris;1
31;Métro;LA CHAPELLE;3825879;2;;;;;Paris;9
41;Métro;OPERA;3519216;3;7;8;;;Paris;9
53;Métro;CHARLES DE GAULLE-ETOILE;3152200;1;2;6;;;Paris;8
76;Métro;BASILIQUE DE SAINT-DENIS;2616421;13;;;;;Saint Denis;
119;Métro;PORTE DE SAINT-OUEN;2060676;13;;;;;Paris;17
130;Métro;ARTS ET METIERS;1844332;3;11;;;;Paris;3
281;Métro;CHEMIN VERT;685924;8;;;;;Paris;11
294;Métro;ASSEMBLEE NATIONALE;395997;12;;;;;Paris;7
15;RER;NOISY-CHAMPS;3393192;A;;;;;Champs-sur-Marne;
23;RER;BOURG-LA-REINE;2409369;B;;;;;Bourg la Reine;
53;RER;FONTENAY-AUX-ROSES;665966;B;;;;;Fontenay aux roses;
261;Métro;FUNICULAIRE;843984;2;;;;;Paris;18
283;Métro;PORTE DE CHOISY;647656;7;;;;;Paris;13
25;RER;NANTERRE-VILLE;2318006;A;;;;;Nanterre;
47;RER;LA VARENNE-CHENNEVIERES;1209310;A;;;;;saint-Maur des Fossés;
159;Métro;COMMERCE;1616379;8;;;;;Paris;15
287;Métro;QUAI DE LA RAPEE;525558;5;;;;;Paris;12
46;RER;CHATOU-CROISSY;1230132;A;;;;;Chatou;
87;Métro;PORTE DE VANVES;2460078;13;;;;;Paris;14
122;Métro;VICTOR HUGO;1991304;2;;;;;Paris;16
178;Métro;TOLBIAC;1496862;7;;;;;Paris;13
214;Métro;GAITE;1205958;13;;;;;Paris;14
45;Métro;SAINT-PAUL;3357660;1;;;;;Paris;4
115;Métro;LAUMIERE;2107812;5;;;;;Paris;19
142;Métro;LES GOBELINS;1733427;7;;;;;Paris;13
34;Métro;CHATEAU DE VINCENNES;3735738;1;;;;;Vincennes;
35;Métro;PALAIS-ROYAL;3678654;1;7;;;;Paris;1
47;Métro;MAIRIE DE CLICHY;3316323;13;;;;;Clichy;
55;Métro;PYRAMIDES;3048580;7;14;;;;Paris;1
103;Métro;LE KREMLIN-BICETRE;2244686;7;;;;;Kremlin-Bicêtre;
223;Métro;NOTRE-DAME-DE-LORETTE;1176983;12;;;;;Paris;9
243;Métro;BREGUET-SABIN;1003059;5;;;;;Paris;11
11;RER;AUBER;3956779;A;;;;;Paris;9
20;RER;SAINT-GERMAIN-EN-LAYE;2644464;A;;;;;Saint-Germain-en-Laye;
39;Métro;LA COURNEUVE-8 MAI 1945;3611264;7;;;;;La Courneuve;
123;Métro;PORTE DE LA VILLETTE;1981878;7;;;;;Paris;19
171;Métro;SAINT-AMBROISE;1544174;9;;;;;Paris;11
197;Métro;LOUVRE;1328080;1;;;;;Paris;1
208;Métro;BROCHANT;1227003;13;;;;;Paris;17
2;Métro;GARE DU NORD;25381876;4;5;;;;Paris;10
10;Métro;BASTILLE;6084635;1;5;8;;;Paris;12
37;Métro;PLACE CLICHY;3643247;2;13;;;;Paris;17
78;Métro;GRANDS BOULEVARDS;2608284;8;9;;;;Paris;9
93;Métro;PORTE DE MONTREUIL;2383093;9;;;;;Paris;20
100;Métro;ROBESPIERRE;2281953;9;;;;;Montreuil;
114;Métro;BERAULT;2112213;1;;;;;Vincennes;
271;Métro;FELIX FAURE;776924;8;;;;;Paris;15
279;Métro;PONT MARIE;721712;7;;;;;Paris;4
288;Métro;VANEAU;524526;10;;;;;Paris;7
291;Métro;BOTZARIS;511339;7bis;;;;;Paris;19
301;Métro;PRE-SAINT-GERVAIS;226935;7bis;;;;;Paris;19
12;RER;CITE UNIVERSITAIRE;3853590;B;;;;;Paris;14
231;Métro;LOURMEL;1120497;8;;;;;Paris;15
238;Métro;AVRON;1034013;2;;;;;Paris;11
257;Métro;SAINT-JACQUES;900155;6;;;;;Paris;13
18;RER;ANTONY;2790880;B;;;;;Antony;
30;RER;NANTERRE-UNIVERSITE;2024836;A;;;;;Nanterre;
184;Métro;QUAI DE LA GARE;1410543;6;;;;;Paris;13
191;Métro;PYRENEES;1364625;11;;;;;Paris;20
229;Métro;MALESHERBES;1133574;3;;;;;Paris;17
101;Métro;BONNE NOUVELLE;2254643;8;9;;;;Paris;10
106;Métro;PEREIRE;2221107;3;;;;;Paris;17
155;Métro;CHARENTON-ECOLES;1654160;8;;;;;Charenton;
13;Métro;HOTEL DE VILLE;5673100;1;11;;;;Paris;4
96;Métro;PORTE DE CLICHY;2352078;13;14;;;;Paris;17
157;Métro;COURONNES;1623475;2;;;;;Paris;11
185;Métro;PERNETY;1395770;13;;;;;Paris;14
23;Métro;GARE D'AUSTERLITZ;4638836;5;10;;;;Paris;13
193;Métro;SAINT-PHILIPPE-DU-ROULE;1353374;9;;;;;Paris;8
233;Métro;IENA;1093805;9;;;;;Paris;16
108;Métro;CHARLES MICHELS;2198392;10;;;;;Paris;15
241;Métro;VAVIN;1009201;4;;;;;Paris;14
135;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;1808155;8;;;;;Maisons -Alfort;
264;Métro;AVENUE EMILE ZOLA;823178;10;;;;;Paris;15
158;Métro;PLACE DES FETES;1620143;7bis;11;;;;Paris;19
293;Métro;FALGUIERE;479988;12;;;;;Paris;15
154;Métro;ANATOLE FRANCE;1668656;3;;;;;Levallois-Perret;
218;Métro;SAINT-SULPICE;1196573;4;;;;;Paris;6
